cohort,pht,datatablename,associatedvisit,associatedvisit_expr,xassociatedvisit,participantidphv,ageinyearsphv,ageinyears_expr,notes,drop_table
ARIC,pht001440,ARIC_Subject,ARIC CONSENT,,,phv00098579,,,,
ARIC,pht004027,,ARIC EXAM 1,,,phv00202851,,,,
ARIC,pht004028,,ARIC EXAM 3,,,phv00202861,,,,
ARIC,pht004029,,ARIC EXAM 4,,,phv00202873,,,,
ARIC,pht004031,,ARIC EXAM 3,,,phv00203148,,,,
ARIC,pht004032,,ARIC EXAM 1,,,phv00203163,,,,
ARIC,pht004033,,ARIC EXAM 2,,,phv00203174,,,,
ARIC,pht004034,,ARIC EXAM 3,,,phv00203181,,,,
ARIC,pht004035,,ARIC EXAM 4,,,phv00203194,,,,
ARIC,pht004036,,ARIC EXAM 1,,,phv00203302,,,,
ARIC,pht004037,,ARIC EXAM 1,,,phv00203305,,,,
ARIC,pht004038,,ARIC EXAM 2,,,phv00203308,,,,
ARIC,pht004039,,ARIC EXAM 3,,,phv00203311,,,,
ARIC,pht004040,,ARIC EXAM 4,,,phv00203314,,,,
ARIC,pht004041,,ARIC EXAM 1,,,phv00203324,,,,
ARIC,pht004042,,ARIC EXAM 3,,,phv00203348,,,,
ARIC,pht004043,,ARIC EXAM 4,,,phv00203372,,,,
ARIC,pht004044,,ARIC POST EXAM 4,,,phv00203520,,,,
ARIC,pht004045,,ARIC POST EXAM 4,,,phv00203668,,,,
ARIC,pht004046,,ARIC COHORT,,,phv00203746,,,"Cohort Event Eligibility Form, Form CEL",
ARIC,pht004047,,ARIC DEATH EVENT,,,phv00203808,,,,
ARIC,pht004049,,ARIC DEATH EVENT,,,phv00203839,,,,
ARIC,pht004050,,ARIC COHORT,,,phv00203858,,,age at event,
ARIC,pht004051,,ARIC EXAM 1,,,phv00203875,,,,
ARIC,pht004052,,ARIC EXAM 2,,,phv00203886,,,,
ARIC,pht004053,,ARIC HOSPITAL FORM,,,phv00204295,,,,
ARIC,pht004054,,ARIC DEATH EVENT,,,phv00204350,,,,
ARIC,pht004058,,ARIC COHORT,,,phv00204401,,,,
ARIC,pht004061,,ARIC HOSPITAL FORM,,,phv00204606,,,,
ARIC,pht004063,,ARIC EXAM 1,,,phv00204812,phv00204712,,,
ARIC,pht004064,,ARIC EXAM 3,,,phv00204919,phv00204871,,,
ARIC,pht004067,,ARIC EXAM 4,,,phv00205057,,,,
ARIC,pht004068,,ARIC EXAM 1,,,phv00205178,,,,
ARIC,pht004069,,ARIC EXAM 2,,,phv00205279,,,,
ARIC,pht004070,,ARIC EXAM 3,,,phv00205385,,,,
ARIC,pht004071,,ARIC EXAM 2,,,phv00205444,,,,
ARIC,pht004072,,ARIC EXAM 3,,,phv00205509,,,,
ARIC,pht004073,,ARIC EXAM 4,,,phv00205568,,,,
ARIC,pht004074,,ARIC EXAM 1,,,phv00205621,,,,
ARIC,pht004075,,ARIC EXAM 2,,,phv00205676,,,,
ARIC,pht004076,,ARIC EXAM 3,,,phv00205731,,,,
ARIC,pht004077,,ARIC EXAM 4,,,phv00205788,,,,
ARIC,pht004078,,ARIC EXAM 1,,,phv00205844,,,,
ARIC,pht004079,,ARIC EXAM 3,,,phv00205920,phv00510683,,,
ARIC,pht004080,,ARIC EXAM 1,,,phv00205949,,,,
ARIC,pht004083,,ARIC EXAM 2,,,phv00206121,,,,
ARIC,pht004084,,ARIC EXAM 3,,,phv00206272,,,,
ARIC,pht004085,,ARIC EXAM 4,,,phv00206422,,,,
ARIC,pht004086,,ARIC EXAM 1,,,phv00206448,,,,
ARIC,pht004087,,ARIC EXAM 2,,,phv00206475,,,,
ARIC,pht004088,,ARIC EXAM 3,,,phv00206501,,,,
ARIC,pht004089,,ARIC EXAM 4,,,phv00206527,,,,
ARIC,pht004090,,ARIC EXAM 2,,,phv00206582,,,,
ARIC,pht004096,,ARIC EXAM 4,,,phv00206634,,,,
