cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,systolic blood pressure,phv00021573,phs000007,pht000076,systolic blood pressure by doppler in left arm,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING COHORT EXAM 7,phv00021587,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00274822,phs000007,pht006007,physical exam - physician blood pressure 2nd reading - systolic (nearest 2mm hg),,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS ORIGINAL EXAM 31,phv00274708,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00275179,phs000007,pht006008,physical exam - physician blood pressure 2nd reading - systolic (nearest 2mm hg),,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS ORIGINAL EXAM 32,phv00275063,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00021579,phs000007,pht000076,repeat systolic blood pressure measurement by doppler in left ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING COHORT EXAM 7,phv00021587,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00021580,phs000007,pht000076,repeat systolic blood pressure measurement by doppler in right ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING COHORT EXAM 7,phv00021587,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00461149,phs000007,pht004813,systolic blood pressure: technician's reading,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00021578,phs000007,pht000076,if dorsalis pedis used: systolic blood pressure by doppler in left ankle,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,FHS OFFSPRING COHORT EXAM 7,phv00021587,,,,,,1.0,1,,0,0,,0
fhs,systolic blood pressure,phv00461059,phs000007,pht004813,systolic blood pressure: physician's second reading,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00461938,phs000007,pht010724,blood pressure: 2nd reading: systolic,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00461319,phs000007,pht006006,numerical data - part i: nurse's blood pressure - systolic (nearest 2mm hg),,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00520253,phs000007,pht000396,systolic blood pressure: second reading,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00461004,phs000007,pht004813,systolic blood pressure: physician's first reading,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00520305,phs000007,pht006026,"average systolic blood pressure (mmhg), exam 3",,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00520255,phs000007,pht000396,systolic blood pressure: third reading,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00522567,phs000007,pht012897,systolic blood pressure at peak exercise,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00520251,phs000007,pht000396,systolic blood pressure: first reading,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00461869,phs000007,pht010724,blood pressure: first reading - systolic,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00522553,phs000007,pht012897,systolic blood pressure at 75 watts,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00522548,phs000007,pht012897,resting systolic blood pressure,,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00461587,phs000007,pht006006,physical exam - physician blood pressure first reading - systolic (nearest 2mm hg),,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00461678,phs000007,pht006006,physical exam - physician blood pressure second reading - systolic (nearest 2mm hg),,,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,,0,0,,0
fhs,systolic blood pressure,phv00000624,phs000007,pht000009,"blood pressure: second examiner, systolic, exam 2",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00000922,phs000007,pht000009,"blood pressure: second examiner, systolic, exam 7",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370060,phs000007,pht007777,"average systolic blood pressure, exam 30",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370052,phs000007,pht007777,"average systolic blood pressure, exam 22",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370055,phs000007,pht007777,"average systolic blood pressure, exam 25",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00257567,phs000007,pht005150,"ankle brachial blood pressure measurements: repeat systolic blood pressure, right ankle",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00423926,phs000007,pht009761,"average systolic blood pressure, exam 2",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00277045,phs000007,pht006026,"average systolic blood pressure, exam 1",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00072661,phs000007,pht000748,systolic blood pressure entered by technician,mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370040,phs000007,pht007777,"average systolic blood pressure, exam 10",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370056,phs000007,pht007777,"average systolic blood pressure, exam 26",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00000532,phs000007,pht000009,"blood pressure: second examiner, systolic, exam 1",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370045,phs000007,pht007777,"average systolic blood pressure, exam 15",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370051,phs000007,pht007777,"average systolic blood pressure, exam 21",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00257570,phs000007,pht005150,"ankle brachial blood pressure measurements: third systolic blood pressure, right ankle",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00257550,phs000007,pht005149,"ankle brachial blood pressure measurements: third systolic blood pressure, right ankle",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00423925,phs000007,pht009761,"average systolic blood pressure, exam 1",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370050,phs000007,pht007777,"average systolic blood pressure, exam 20",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00257561,phs000007,pht005150,"ankle brachial blood pressure measurements: first systolic blood pressure, right arm",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370058,phs000007,pht007777,"average systolic blood pressure, exam 28",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00370031,phs000007,pht007777,"average systolic blood pressure, exam 1",mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
fhs,systolic blood pressure,phv00276847,phs000007,pht006018,vital signs - systolic blood pressure,mm[Hg],,MeasurementObservation,bp_systolic,mm[Hg],OMOP:4152194,,,,,,,,,1,1.0,0,0,,0
