bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,mean corpuscular hemoglobin,mch,pht000031,phv00008113,phs000007,OBA:2045301,mch (mean corpuscular hemoglobin),fhs,pg/{cell},FHS OFFSPRING EXAM 2,0,0,phv00008379,phv00177932,0,0,0,1.0,1.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0
MeasurementObservation,mean corpuscular hemoglobin,mch,pht004802,phv00227030,phs000007,OBA:2045301,mean corpuscular hemoglobin (sample type: whole blood),fhs,pg/{cell},0,"FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4",0,phv00227023,0,0,look at phv00227024 to pick the visit,pg,1.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0
