cohort,phv,BDCHM_Label,new_bdchm_label
"FHS","phv00254499","COPD status","COPD"
"FHS","phv00255077","Stroke status","Stroke"
"FHS","phv00255320","Stroke status","Stroke"
"FHS","phv00255330","COPD status","COPD"
"FHS","phv00255391","Lactate","Lactate in blood"
"FHS","phv00273897","Stroke status","Stroke"
"FHS","phv00274016","Stroke status","Stroke"
"FHS","phv00274134","COPD status","COPD"
"FHS","phv00274135","COPD status","COPD"
"FHS","phv00274136","COPD status","COPD"
"FHS","phv00274797","Stroke status","Stroke"
"FHS","phv00274801","Stroke status","Stroke"
"FHS","phv00275045","Stroke status","Stroke"
"FHS","phv00275055","COPD status","COPD"
"FHS","phv00275154","Stroke status","Stroke"
"FHS","phv00275158","Stroke status","Stroke"
"FHS","phv00275379","Stroke status","Stroke"
"FHS","phv00275389","COPD status","COPD"
"FHS","phv00276805","Taking ACE inhibitor","Taking ACE inhibitors"
"FHS","phv00276806","Taking beta blocker","Taking beta blockers"
"FHS","phv00276871","COPD status","COPD"
"FHS","phv00276872","COPD status","COPD"
"FHS","phv00276965","Stroke status","Stroke"
"FHS","phv00276966","Stroke status","Stroke"
"FHS","phv00276971","Stroke status","Stroke"
"FHS","phv00276972","Stroke status","Stroke"
"FHS","phv00276989","Stroke status","Stroke"
"FHS","phv00369646","Valvular heart disease",""
"FHS","phv00369649","BNP",""
"FHS","phv00437830","Stroke status","Stroke"
"FHS","phv00460987","Stroke status","Stroke"
"FHS","phv00461106","Stroke status","Stroke"
"FHS","phv00461222","COPD status","COPD"
"FHS","phv00461223","COPD status","COPD"
"FHS","phv00461224","COPD status","COPD"
"FHS","phv00461389","Taking beta blocker","Taking beta blockers"
"FHS","phv00461390","Taking beta blocker","Taking beta blockers"
"FHS","phv00461391","Taking beta blocker","Taking beta blockers"
"FHS","phv00461392","Taking diuretic","Taking diuretics"
"FHS","phv00461393","Taking diuretic","Taking diuretics"
"FHS","phv00461394","Taking diuretic","Taking diuretics"
"FHS","phv00461395","Taking diuretic","Taking diuretics"
"FHS","phv00461917","Stroke status","Stroke"
"FHS","phv00462121","COPD status","COPD"
"FHS","phv00520261","Stroke status","Stroke"
"FHS","phv00521044","Lactate","Lactate in blood"
"FHS","phv00521118","Lactate","Lactate in blood"
"HCHS_SOL","phv00226392","Sleep apnea","Ahi apnea-hypopnea index"
"MESA","phv00196299","Sleep apnea",""
"MESA","phv00196300","Sleep apnea",""
"MESA","phv00196301","Sleep apnea",""
"MESA","phv00196302","Sleep apnea",""
"MESA","phv00196303","Sleep apnea",""
"MESA","phv00196304","Sleep apnea",""
"MESA","phv00196305","Sleep apnea",""
"WHI","phv00156409","Alcohol",""
