cohort,bdchm_label,phv,phs,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"jhs","hemoglobin a1c","phv00401414","phs000286","pht008731","ngsp hemoglobin a1c (%)","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00401370","JHS EXAM 3","phv00401379","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00172181","phs000007","pht002889","hematocrit (sample type: whole blood)","%","MeasurementObservation","hemat","%","OBA:2045381","phv00172159","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00000929","phs000007","pht000009","blood analysis: hematocrit, exam 7","%","MeasurementObservation","hemat","%","OBA:2045381","phv00001036","FHS ORIGINAL EXAM 1-7","","","","",,1,1,1,0,0,1
"hchs_sol","spo2","phv00226395","phs000810","pht004715","mean spo2 (slpa92)","%","MeasurementObservation","spo2","%","OBA:2045443","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00000765","phs000007","pht000009","blood analysis: hematocrit, exam 5","%","MeasurementObservation","hemat","%","OBA:2045381","phv00001036","FHS ORIGINAL EXAM 1-7","","","","",,1,1,1,0,0,1
"fhs","spo2","phv00276851","phs000007","pht006018","vital signs - oxygen saturation (lowest)","%","MeasurementObservation","spo2","%","OBA:2045443","phv00276803","FHS ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 1, OMNI 2 CASE REVIEW","","","","",,1,1,1,0,0,1
"fhs","carotid stenosis right","phv00021700","phs000007","pht000083","percent stenosis on the right","%","MeasurementObservation","carotid_sten_right","%","OMOP:43021859","phv00021738","FHS OFFSPRING EXAM 6","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00000842","phs000007","pht000009","blood analysis: hematocrit, exam 6","%","MeasurementObservation","hemat","%","OBA:2045381","phv00001036","FHS ORIGINAL EXAM 1-7","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00001579","phs000007","pht000013","blood analysis, hematocrit","%","MeasurementObservation","hemat","%","OBA:2045381","phv00001803","FHS ORIGINAL EXAM 11","","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00001202","phs000007","pht000011","blood analysis: hematocrit","%","MeasurementObservation","hemat","%","OBA:2045381","phv00001363","FHS ORIGINAL EXAM 9","","","","",,1,1,1,0,0,1
"jhs","hemoglobin a1c","phv00401123","phs000286","pht008729","ngsp hemoglobin a1c (%)","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00401078","JHS EXAM 1","phv00401085","","","",,1,1,1,0,0,1
"fhs","hematocrit","phv00001815","phs000007","pht000014","blood analysis, hematocrit","%","MeasurementObservation","hemat","%","OBA:2045381","phv00002020","FHS ORIGINAL EXAM 12","","","","",,1,1,1,0,0,1
"fhs","carotid stenosis left","phv00021702","phs000007","pht000083","percent stenosis on the left","%","MeasurementObservation","carotid_sten_left","%","OMOP:43020498","phv00021738","FHS OFFSPRING EXAM 6","","","","",,1,1,1,0,0,1
"fhs","hemoglobin a1c","phv00275420","phs000007","pht006011","hemoglobin a1c (sample type: whole blood)","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00275410","FHS OMNI 1 EXAM 3","","","","",,1,1,1,0,0,1
"aric","hematocrit","phv00294957","phs000280","pht006422","hematocrit, hct [complete blood count, cbc, visit 5]","%","MeasurementObservation","hemat","%","OBA:2045381","phv00294953","ARIC EXAM 5","","","","",,1,1,1,0,0,1
"cardia","hematocrit","phv00112689","phs000285","pht001563","hematocrit (%)","%","MeasurementObservation","hemat","%","OBA:2045381","phv00112654","CARDIA YEAR 0","","","","",,1,1,1,0,0,1
"hchs_sol","hematocrit","phv00226303","phs000810","pht004715","% hematocrit (laba4)","%","MeasurementObservation","hemat","%","OBA:2045381","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,1,0,0,1
"aric","hematocrit","phv00207255","phs000280","pht004107","hematocrit % (mav). q1 [hematology form. hmta. visit 1]","%","MeasurementObservation","hemat","%","OBA:2045381","phv00207267","ARIC EXAM 1","","","","",,1,1,1,0,0,1
"aric","red cell distribution width","phv00294962","phs000280","pht006422","red cell distribution width, rdw [complete blood count, cbc, visit 5]","%","MeasurementObservation","rdw","%","OMOP:37397924","phv00294953","ARIC EXAM 5","","","","",,1,1,1,0,0,1
"hchs_sol","hemoglobin a1c","phv00253231","phs000810","pht004715","% glycosylated hemoglobin (laba72)","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,1,0,0,1
"aric","hemoglobin a1c","phv00295245","phs000280","pht006427","hba1c [clinical chemistry lab. chm. visit 5]","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00295244","ARIC EXAM 5","","","","",,1,1,1,0,0,1
"aric","red cell distribution width","phv00507208","phs000280","pht012503","rdw - red cell distribution width - numeric value % [chemistry lab, chem2]","%","MeasurementObservation","rdw","%","OMOP:37397924","phv00506928","ARIC CHEM 2","","","","",,1,1,1,0,0,1
"jhs","hemoglobin a1c","phv00401573","phs000286","pht008734","ngsp hemoglobin hba1c (%)","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00401565","JHS EXAM 3","phv00401572","","","",,1,1,1,0,0,1
"aric","red cell distribution width","phv00207304","phs000280","pht004110","rbc distribution width. q9 [hematology lab. hmtcv401. visit 4]","%","MeasurementObservation","rdw","%","OMOP:37397924","phv00207307","ARIC EXAM 4","","","","",,1,1,1,0,0,1
