cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,creatinine in urine,phv00071896,phs000007,pht000742,"creatinine, urine",mg/dL,,MeasurementObservation,creat_urin,mg/dL,OBA:VT0010540,FHS OFFSPRING EXAM 8,phv00071899,,,,,,1.0,1,1.0,0,0,,1
fhs,creatinine in urine,phv00275419,phs000007,pht006011,creatinine (sample type: urine),mg/dL,,MeasurementObservation,creat_urin,mg/dL,OBA:VT0010540,FHS OMNI 1 EXAM 3,phv00275410,,,,,,1.0,1,1.0,0,0,,1
fhs,creatinine in urine,phv00036494,phs000007,pht000313,urine creatinine (mg/100ml),mg/dL,,MeasurementObservation,creat_urin,mg/dL,OBA:VT0010540,FHS GENERATION 3 EXAM 1,phv00036496,,,,,,1.0,1,1.0,0,0,,1
