row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,conversion_rule,unit_expr,unit_expr_custom,unit_casestmt,unit_casestmt_custom,bad_map,add_map,add_var_units,fix_key_note
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000532","blood pressure: second examiner, systolic, exam 1","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 1","","","","","","phv00177930","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000762","blood pressure: second examiner, diastolic, exam 5","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 5","","","","","","phv00177938","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000641","blood pressure: admission, diastolic, exam 3","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 3","","","","","","phv00177934","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000529","blood pressure: admission, diastolic, exam 1","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 1","","","","","","phv00177930","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000837","blood pressure: second examiner, systolic, exam 6","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 6","","","","","","phv00177940","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000531","blood pressure: first examiner, diastolic, exam 1","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 1","","","","","","phv00177930","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000918","blood pressure: admission, systolic, exam 7","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 7","","","","","","phv00177942","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000622","blood pressure: first examiner, systolic, exam 2","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 2","","","","","","phv00177932","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000721","blood pressure: second examiner, systolic, exam 4","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 4","","","","","","phv00177936","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000759","blood pressure: first examiner, systolic, exam 5","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 5","","","","","","phv00177938","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000836","blood pressure: first examiner, diastolic, exam 6","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 6","","","","","","phv00177940","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000642","blood pressure: first examiner, systolic, exam 3","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 3","","","","","","phv00177934","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000620","blood pressure: admission, systolic, exam 2","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 2","","","","","","phv00177932","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000644","blood pressure: second examiner, systolic, exam 3","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 3","","","","","","phv00177934","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000757","blood pressure: admission, systolic, exam 5","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 5","","","","","","phv00177938","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000920","blood pressure: first examiner, systolic, exam 7","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 7","","","","","","phv00177942","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000921","blood pressure: first examiner, diastolic, exam 7","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 7","","","","","","phv00177942","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000719","blood pressure: first examiner, systolic, exam 4","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 4","","","","","","phv00177936","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000835","blood pressure: first examiner, systolic, exam 6","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 6","","","","","","phv00177940","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000834","blood pressure: admission, diastolic, exam 6","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 6","","","","","","phv00177940","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000528","blood pressure: admission, systolic, exam 1","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 1","","","","","","phv00177930","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00000760","blood pressure: first examiner, diastolic, exam 5","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 5","","","","","","phv00177938","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000922","blood pressure: second examiner, systolic, exam 7","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 7","","","","","","phv00177942","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000640","blood pressure: admission, systolic, exam 3","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 3","","","","","","phv00177934","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"1","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00000624","blood pressure: second examiner, systolic, exam 2","mm[Hg]","1","pht000009","phv00001036","","FHS ORIGINAL EXAM 2","","","","","","phv00177932","will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5","1","0","","0","","","","","","",""
"0","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00021093","diastolic blood pressure: physician's first reading (to nearest 2mm hg)","mm[Hg]","1","pht000074","phv00021427","1","FHS GENERATION 3 EXAM 1","","","","","1","phv00177930","see pht003099 for ages at all exams","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021092","systolic blood pressure: physician's first reading (to nearest 2mm hg)","mm[Hg]","1","pht000074","phv00021427","1","FHS GENERATION 3 EXAM 1","","","","","1","phv00177930","see pht003099 for ages at all exams","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","diastolic blood pressure","bp_diastolic","1","mm[Hg]","phv00021148","diastolic blood pressure: physician's second reading (to nearest 2mm hg)","mm[Hg]","1","pht000074","phv00021427","1","FHS GENERATION 3 EXAM 1","","","","","1","phv00177930","see pht003099 for ages at all exams","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021147","systolic blood pressure: physician's second reading (to nearest 2mm hg)","mm[Hg]","1","pht000074","phv00021427","1","FHS GENERATION 3 EXAM 1","","","","","1","phv00177930","see pht003099 for ages at all exams","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021575","systolic blood pressure by doppler in right ankle","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021581","repeat systolic blood pressure measurement by doppler in left arm","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021572","systolic blood pressure by doppler in right arm","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021573","systolic blood pressure by doppler in left arm","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021577","if dorsalis pedis used: systolic blood pressure by doppler in right ankle","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021579","repeat systolic blood pressure measurement by doppler in left ankle","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021578","if dorsalis pedis used: systolic blood pressure by doppler in left ankle","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021580","repeat systolic blood pressure measurement by doppler in right ankle","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021576","systolic blood pressure by doppler in left ankle","mm[Hg]","1","pht000076","phv00021587","1","FHS OFFSPRING COHORT EXAM 7","","","","","1","phv00177942","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021597","if dorsalis pedis used: systolic blood pressure by doppler in left ankle","mm[Hg]","1","pht000077","phv00021606","1","FHS OFFSPRING EXAM 6","","","","","1","phv00177940","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021591","systolic blood pressure by doppler in right arm","mm[Hg]","1","pht000077","phv00021606","1","FHS OFFSPRING EXAM 6","","","","","1","phv00177940","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021592","systolic blood pressure by doppler in left arm","mm[Hg]","1","pht000077","phv00021606","1","FHS OFFSPRING EXAM 6","","","","","1","phv00177940","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021596","if dorsalis pedis used: systolic blood pressure by doppler in right ankle","mm[Hg]","1","pht000077","phv00021606","1","FHS OFFSPRING EXAM 6","","","","","1","phv00177940","","","0","","0","","","","","","1",""
