output_table,output_column,code_in_data,label,definition,vocabulary,code_form
MeasurementObservation,observation_type,OBA:0000061,circulating fibrinogen levels,Fibrinogen | The amount of fibrinogen complex.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:0003277,platelet volume,mean platelet volume | The volume of a platelet.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:0003460,erythrocyte volume,mean corpuscular volume | The volume of an erythrocyte.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:1000032,hip circumference,Hip circumference | The circumference of a hip.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:1001085,waist circumference,Waist circumference | The circumference of an abdominal segment of trunk.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:1001086,QRS duration,QRS interval | See also EFO_0005054,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:1001087,heart rate,Heart rate | The rate of a heart contraction.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2040171,sleep duration trait,Sleep hours | The duration of sleep.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2041535,level of coagulation factor VII in blood serum,Factor VII | The amount of coagulation factor VII when measured in blood serum.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2041536,level of coagulation factor VIII in blood serum,Factor VIII | The amount of coagulation factor VIII when measured in blood serum.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2045301,erythrocyte hemoglobin content trait,mean corpuscular hemoglobin | The amount of hemoglobin when measured in an erythrocyte.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2045303,natriuretic peptides B level,BNP | The amount of natriuretic peptides B when measured in anatomical entity.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2045381,hematocrit,Hematocrit | The volume of an erythrocyte when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2045443,oxygen concentration in blood,SpO2 | The concentration of oxygen when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2045455,body mass to height ratio,BMI | A compound attribute that is the ratio of body mass to body height.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2050062,serum alanine aminotransferase amount,ALT SGPT | The amount of alanine aminotransferase when measured in blood serum.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2050068,serum albumin amount,Albumin in blood | The amount of albumin when measured in blood serum.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2050075,serum alpha-1-antitrypsin amount,Alpha-1 antitrypsin in serum | The amount of alpha-1-antitrypsin when measured in blood serum.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2050096,serum creatinine amount,Creatinine in blood | The amount of creatinine when measured in blood serum.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2051975,amount of tumor necrosis factor receptor superfamily member 1A (human) in blood,TNFa-R1 in blood | The amount of tumor necrosis factor receptor superfamily member 1A (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2051979,amount of tumor necrosis factor (human) in blood,TNFa in blood | The amount of tumor necrosis factor (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2052305,amount of CD40 ligand (human) in blood,CD40 in blood | The amount of CD40 ligand (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2052375,amount of cystatin-C (human) in blood,Cystatin C in blood | The amount of cystatin-C (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2052701,amount of P-selectin (human) in blood,P-selectin in blood | The amount of a P-selectin (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2052741,amount of von Willebrand factor (human) in blood,von Willebrand factor | The amount of von Willebrand factor (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2052778,amount of E-selectin (human) in blood,E-selectin in blood | The amount of E-selectin (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2052890,amount of interleukin-6 (human) in blood,IL6 | interleukin 6 in blood | The amount of interleukin-6 (human) when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2060174,amount of insulin in blood,Insulin in blood | The amount of insulin when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:2060175,amount of hemoglobin in blood,Hemoglobin | The amount of hemoglobin when measured in blood.,Ontology of Biological Attributes,ontology code (CURIE)
MeasurementObservation,observation_type,OBA:VT0000180,Oba:vt0000180,Total cholesterol in blood | The amount of cholesterol when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000181,Oba:vt0000181,LDL | The amount of low-density lipoprotein cholesterol when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000184,Oba:vt0000184,HDL | The amount of high-density lipoprotein cholesterol when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000188,Oba:vt0000188,Glucose in blood | The amount of glucose when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000199,Oba:vt0000199,blood albumin amount | The amount of a albumin type when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000217,Oba:vt0000217,White blood cell count | The amount of leukocytes.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000222,Oba:vt0000222,Neutrophils count | The amount of a neutrophil.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000223,Oba:vt0000223,monocytes count | The amount of monocytes.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0000717,Oba:vt0000717,Lymphocytes count | The number of lymphocytes.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0001253,Oba:vt0001253,Height | The height of a multicellular organism.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0001259,Oba:vt0001259,Body weight | The mass of a multicellular organism.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0001586,Oba:vt0001586,Red blood cell count | The amount of erythrocytes. | RBC,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0001776,Oba:vt0001776,Sodium in blood | The amount of sodium when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0002602,Oba:vt0002602,Eosinophils count | The amount of a eosinophil.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0002607,Oba:vt0002607,basophils count | The amount of a basophil.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0002644,Oba:vt0002644,Triglycerides in blood | The amount of triglycerides when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0002668,Oba:vt0002668,Potassium in blood | The amount of potassium when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0002871,Oba:vt0002871,Albumin in urine | The amount of albumin when measured in urine.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0003018,Oba:vt0003018,Chloride in blood | The amount of chloride when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0003179,Oba:vt0003179,platelet quantity | The amount of platelets.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0005265,Oba:vt0005265,BUN | The amount of urea when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0005535,Oba:vt0005535,Temperature | The temperature of a multicellular organism.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0010477,Oba:vt0010477,Lactate Dehydrogenase LDH | The amount of lactate dehydrogenase complex when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0010513,Oba:vt0010513,Ferritin | The amount of ferritin complex when measured in blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT0010540,Oba:vt0010540,Creatinine in urine | The amount of creatinine when measured in urine.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OBA:VT2000000,Oba:vt2000000,Mean arterial pressure | The pressure of arterial blood.,BDC-HM enumerated value,permissible value name
MeasurementObservation,observation_type,OMOP:21493059,Fruit servings 24 hour Estimated,LOINC fruit_serving | Fruit servings 24 hour Estimated,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3002094,Forced vital capacity [Volume] Respiratory system Predicted,LOINC FVC predicted | Forced vital capacity [Volume] Respiratory system Predicted,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3004578,Interleukin 10 [Mass/volume] in Serum or Plasma,LOINC il10 | Interleukin 10 [Mass/volume] in Serum or Plasma,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3005600,FVC measured/predicted,LOINC FVC percent predicted | FVC measured/predicted,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3006315,Basophils [#/volume] in Blood,LOINC Basophils [#/volume] in Blood,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3011505,FEV1/FVC,LOINC fev1_fvc | FEV1/FVC,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3011708,FEV1 measured/predicted,LOINC FEV1 percent predicted | FEV1 measured/predicted,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3011888,Prostaglandin F2 alpha [Mass/volume] in Urine,LOINC isoprostane_8_epi_pgf2a | Prostaglandin F2 alpha [Mass/volume] in Urine | 8-epi-PGF2,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3013115,Eosinophils [#/volume] in Blood,LOINC Eosinophils [#/volume] in Blood,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3014111,Lactate [Moles/volume] in Serum or Plasma,LOINC Lactate [Moles/volume] in Serum or Plasma,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3022891,FEV1 Predicted,LOINC FEV1 predicted | FEV1 Predicted,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3024594,FEV1/FVC Predicted,LOINC FEV1/FVC predicted | FEV1/FVC Predicted,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3041450,Lipoprotein associated phospholipase A2 [Mass/volume] in Serum or Plasma,LOINC lppla2_mass | Lipoprotein associated phospholipase A2 [Mass/volume] in Serum or Plasma | LP-PLA2,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:3043144,Interleukin 18 [Mass/volume] in Serum or Plasma,LOINC il18 | Interleukin 18 [Mass/volume] in Serum or Plasma,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:35609491,Alcohol units consumed per week,SNOMED alcohol_servings | Alcohol units consumed per week,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:36303297,Center for Epidemiologic Studies Depression Scale-Revised total score [CESD-R],LOINC cesd_score | Center for Epidemiologic Studies Depression Scale-Revised total score [CESD-R],OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:36305170,Lipoprotein associated phospholipase A2 [Enzymatic activity/volume] in Serum or Plasma,LOINC lppla2_act | Lipoprotein associated phospholipase A2 [Enzymatic activity/volume] in Serum or Plasma | LP-PLA2,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37208635,Estimated glomerular filtration rate by laboratory calculation,SNOMED egfr | Estimated glomerular filtration rate by laboratory calculation,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37208690,Lymphocyte percent count in blood,SNOMED lympho_pct | Lymphocyte percent count in blood,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37208698,Neutrophil percent count in blood,SNOMED neutro_pct | Neutrophil percent count in blood,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37208699,Neutrophil count in blood,SNOMED Neutrophil count in blood,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37311566,Estimated intake of vegetable servings in 24 hours,SNOMED Estimated intake of vegetable servings in 24 hours,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37393605,D-dimer level,SNOMED d_dimer | D-dimer level,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37393850,MCHC - Mean corpuscular haemoglobin concentration,SNOMED mchc | MCHC - Mean corpuscular haemoglobin concentration,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37396400,Apnea Hypopnea Index,SNOMED apnea_hypop_index | Apnea Hypopnea Index | AHI,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:37397924,Red blood cell distribution width,SNOMED rdw | Red blood cell distribution width,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4021291,Troponin measurement,SNOMED troponin | Troponin measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4041557,Serum fasting HDL cholesterol measurement,SNOMED Serum fasting HDL cholesterol measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4041720,Plasma fasting HDL cholesterol measurement,SNOMED Plasma fasting HDL cholesterol measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4041721,Plasma fasting LDL cholesterol measurement,SNOMED Plasma fasting LDL cholesterol measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4041722,Plasma fasting triglyceride measurement,SNOMED Plasma fasting triglyceride measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4042061,Serum fasting LDL cholesterol measurement,SNOMED Serum fasting LDL cholesterol measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4042590,Serum fasting triglyceride measurement,SNOMED Serum fasting triglyceride measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:40761106,Matrix metallopeptidase 9 [Mass/volume] in Blood,LOINC Matrix metallopeptidase 9 [Mass/volume] in Blood | MMP9,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4087501,Waist/hip ratio,SNOMED waist_hip | Waist/hip ratio,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4138462,Carotid intima media thickness,SNOMED carotid_imt | Carotid intima media thickness,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4152194,Systolic blood pressure,SNOMED bp_systolic | Systolic blood pressure,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4154347,Urine albumin/creatinine ratio measurement,SNOMED albumin_creatinine | Urine albumin/creatinine ratio measurement | uACR,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4154790,Diastolic blood pressure,SNOMED bp_diastolic | Diastolic blood pressure,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4156660,Fasting blood glucose measurement,SNOMED fast_gluc_bld | Fasting blood glucose measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4166120,Calcium volume,SNOMED Calcium volume,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4176265,Forced vital capacity,SNOMED fvc | Forced vital capacity,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4184637,Hemoglobin A1c measurement,SNOMED hemo_a1c | Hemoglobin A1c measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4189511,N terminal pro-brain natriuretic peptide level,SNOMED N terminal pro-brain natriuretic peptide level,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4196583,FEV1/FVC percent,SNOMED FEV1/FVC percent predicted | FEV1/FVC measured/predicted,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4208414,C-reactive protein measurement,SNOMED crp | C-reactive protein measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4230543,"Bilirubin, total measurement","SNOMED bilirubin_tot | Bilirubin, total measurement",OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4241837,Forced expired volume in 1 second,SNOMED fev1 | Forced expired volume in 1 second,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4263457,Aspartate aminotransferase measurement,SNOMED ast_sgot | Aspartate aminotransferase measurement | AST SGOT,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4267147,Platelet count,SNOMED platelet_ct | Platelet count,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4273021,QRS complex - finding,SNOMED QRS complex - finding,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4273023,QT interval - finding,SNOMED qt_ekg | QT interval - finding,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4274406,PR interval - finding,SNOMED pr_ekg | PR interval - finding,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4282779,Cigarette smoking tobacco,SNOMED | Cigarette smoking tobacco,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:4284103,Lymphocyte antigen CD54,SNOMED icam | Lymphocyte antigen CD54,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:42872742,Coronary artery calcium score,SNOMED cac_score | Coronary artery calcium score,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:43020498,Left carotid artery stenosis,SNOMED Left carotid artery stenosis,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:43021859,Right carotid artery stenosis,SNOMED Right carotid artery stenosis,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:44805650,Conjugated bilirubin measurement,SNOMED bilirubin_con | Conjugated bilirubin measurement,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,observation_type,OMOP:606729,Sodium intake,SNOMED sodium_intak | Sodium intake,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,qualifier,MAXIMUM,Maximum,The maximum value among measurements taken across a time period or under specific conditions,BDC-HM enumerated value,permissible value name
MeasurementObservation,value_enum,OMOP:40766945,Current Smoker,,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,value_enum,OMOP:45883458,Former Smoker,,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,value_enum,OMOP:45883537,Never Smoked,,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,value_enum,OMOP:45885135,Unknown If Ever Smoked,,OMOP / OHDSI standard concept,ontology code (CURIE)
MeasurementObservation,value_enum,UNKNOWN,Unknown,Educational attainment is unknown or not reported.,BDC-HM enumerated value,permissible value name
Observation,observation_type,OMOP:35811013,,,OMOP / OHDSI standard concept,ontology code (CURIE)
Observation,observation_type,OMOP:4022643,Educational achievement,OMOP standard concept (SNOMED / Observation),OMOP / OHDSI standard concept,ontology code (CURIE)
Observation,observation_type,OMOP:4076114,Household income,OMOP standard concept (SNOMED / Observation),OMOP / OHDSI standard concept,ontology code (CURIE)
Observation,value_enum,OMOP:40766945,Current Smoker,,OMOP / OHDSI standard concept,ontology code (CURIE)
Observation,value_enum,OMOP:45885135,Unknown If Ever Smoked,,OMOP / OHDSI standard concept,ontology code (CURIE)
Observation,value_enum,UNKNOWN,Unknown,Educational attainment is unknown or not reported.,BDC-HM enumerated value,permissible value name
Person,species,NCBITaxon:9606,Homo sapiens,,NCBI Taxonomy,ontology code (CURIE)
Procedure,procedure_concept,OMOP:1242799,Operation on carotid artery,OMOP standard concept (SNOMED / Procedure),OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_concept,OMOP:4006788,Percutaneous transluminal coronary angioplasty,OMOP standard concept (SNOMED / Procedure),OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_concept,OMOP:4044550,Dilation - action,OMOP standard concept (SNOMED / Observation),OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_concept,OMOP:4178405,Revascularization - action,OMOP standard concept (SNOMED / Observation),OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_concept,OMOP:4184832,Coronary angioplasty,SNOMED coronary angioplasty | Percutaneous transluminal angioplasty of coronary artery using imaging guidance with contrast,OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_concept,OMOP:4223020,Cardiac catheterization,OMOP standard concept (SNOMED / Procedure),OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_concept,OMOP:4336464,Coronary artery bypass graft,SNOMED Coronary artery bypass graft,OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_concept,OMOP:45772840,Implantable cardiac pacemaker,SNOMED implantable cardiac pacemaker,OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_provenance,CASE_REPORT_FORM,Case Report Form,,BDC-HM enumerated value,permissible value name
Procedure,procedure_provenance,DEATH_RECORD,Death Record,"The condition was recorded in a death record, a more general category that includes death certificates but also other types of records of death (e.g. autopsy record, medical examiner report",BDC-HM enumerated value,permissible value name
Procedure,procedure_provenance,EHR,Ehr,,BDC-HM enumerated value,permissible value name
Procedure,procedure_provenance,HEALTH_RECORD,Health Record,The condition was recorded in a patient's health record.,BDC-HM enumerated value,permissible value name
Procedure,procedure_provenance,OMOP:4822157,,,OMOP / OHDSI standard concept,ontology code (CURIE)
Procedure,procedure_provenance,PATIENT_SELF_REPORT,Patient Self Report,,BDC-HM enumerated value,permissible value name
Procedure,procedure_status,ABSENT,Absent,was absent in the patient at observation time.,BDC-HM enumerated value,permissible value name
Procedure,procedure_status,PRESENT,Present,was present in the patient at observation time.,BDC-HM enumerated value,permissible value name
Procedure,procedure_status,UNKNOWN,Unknown,was of unknown status in the patient at observation time.,BDC-HM enumerated value,permissible value name
Quantity,operator,GREATER_THAN,Greater Than,The quantity is greater than a specified value,BDC-HM enumerated value,permissible value name
Quantity,operator,LESS_THAN,Less Than,The quantity is less than a specified value,BDC-HM enumerated value,permissible value name
ResearchStudy,research_project_type,CONSORTIUM,Consortium,Consortium,BDC-HM enumerated value,permissible value name
ResearchStudy,research_project_type,STUDY,Study,Study,BDC-HM enumerated value,permissible value name
SdohObservation,category,EDUCATIONAL_ATTAINMENT,Educational Attainment,The highest level of formal education an individual has completed.,BDC-HM enumerated value,permissible value name
SdohObservation,category,FINANCIAL_INSECURITY,Financial Insecurity,Inadequate financial resources to meet basic needs and maintain economic stability.,BDC-HM enumerated value,permissible value name
SdohObservation,observation_type,EDUCATIONAL_ATTAINMENT,Educational Attainment,The highest level of education that an individual has completed,BDC-HM enumerated value,permissible value name
SdohObservation,observation_type,OMOP:4076114,Family Income,"The sum of the income of all family members 15 years and older living in the household over 12 months, before taxes",OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,8TH_GRADE_OR_LESS,8th Grade or Less,,BDC-HM enumerated value,permissible value name
SdohObservation,value_enum,COLLEGE_OR_TECH_WITH_DEGREE,College or Tech with Degree,,BDC-HM enumerated value,permissible value name
SdohObservation,value_enum,GREATER_THAN_HIGH_SCHOOL_OR_EQUIVALENT,Greater Than High School or Equivalent,,BDC-HM enumerated value,permissible value name
SdohObservation,value_enum,HIGH_SCHOOL_GRADUATE_GED,High School Graduate GED,,BDC-HM enumerated value,permissible value name
SdohObservation,value_enum,HIGH_SCHOOL_NO_DIPLOMA,High School No Diploma,,BDC-HM enumerated value,permissible value name
SdohObservation,value_enum,MASTERS_OR_DOCTORAL_DEGREE,Masters or Doctoral Degree,,BDC-HM enumerated value,permissible value name
SdohObservation,value_enum,OMOP:1990281,High School No Diploma,,OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,OMOP:1990362,8th Grade or Less,,OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,OMOP:37079292,High School Graduate GED,,OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,OMOP:45877928,No schooling completed,OMOP standard concept (LOINC / Meas Value),OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,OMOP:45880652,Masters or Doctoral Degree,,OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,OMOP:45881537,Technical or trade school,OMOP standard concept (LOINC / Meas Value),OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,OMOP:45882538,Some College or Tech No Degree,,OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,OMOP:45884846,College or Tech with Degree,,OMOP / OHDSI standard concept,ontology code (CURIE)
SdohObservation,value_enum,SOME_COLLEGE_OR_TECH_NO_DEGREE,Some College or Tech No Degree,,BDC-HM enumerated value,permissible value name
SdohObservation,value_enum,UNKNOWN,Unknown,Educational attainment is unknown or not reported.,BDC-HM enumerated value,permissible value name
Visit,visit_category,INPATIENT_VISIT,Inpatient Visit,"Person visiting hospital, at a care site, in bed, for duration of more than one day, with physicians and other Providers permanently available to deliver service around the clock",BDC-HM enumerated value,permissible value name
Visit,visit_category,STUDY_SITE_VISIT,Study Site Visit,Person visiting a clinic for study-specific data collection or other reasons,BDC-HM enumerated value,permissible value name
Visit,visit_category,TELEHEALTH,Telehealth,Patient engages with Provider through communication media,BDC-HM enumerated value,permissible value name
Visit,visit_category,UNKNOWN,Unknown,"Visit category is not known, not observed, not recorded, or refused.",BDC-HM enumerated value,permissible value name
Visit,visit_provenance,STUDY_RECORD,Study Record,The condition was recorded in a study-related record.,BDC-HM enumerated value,permissible value name
