cohort,bdchm_label,phv,phs,pht,var_desc,var_units,case_stmt,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,associatedvisit,participantidphv,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good
fhs,diastolic blood pressure,phv00369860,phs000007,pht007777,"average diastolic blood pressure, exam 22",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00276848,phs000007,pht006018,vital signs - diastolic blood pressure,mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000645,phs000007,pht000009,"blood pressure: second examiner, diastolic, exam 3",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000621,phs000007,pht000009,"blood pressure: admission, diastolic, exam 2",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369842,phs000007,pht007777,"average diastolic blood pressure, exam 4",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000919,phs000007,pht000009,"blood pressure: admission, diastolic, exam 7",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00423904,phs000007,pht009761,"average diastolic blood pressure, exam 3",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369862,phs000007,pht007777,"average diastolic blood pressure, exam 24",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000529,phs000007,pht000009,"blood pressure: admission, diastolic, exam 1",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000758,phs000007,pht000009,"blood pressure: admission, diastolic, exam 5",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369839,phs000007,pht007777,"average diastolic blood pressure, exam 1",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00000720,phs000007,pht000009,"blood pressure: first examiner, diastolic, exam 4",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00177419,phs000007,pht003094,physical exam-blood pressure: physician blood pressure second reading - diastolic,mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369851,phs000007,pht007777,"average diastolic blood pressure, exam 13",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00369868,phs000007,pht007777,"average diastolic blood pressure, exam 30",mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
fhs,diastolic blood pressure,phv00254089,phs000007,pht005140,physical exam - blood pressure: physician blood pressure first reading - diastolic,mm[Hg],,MeasurementObservation,bp_diastolic,mm[Hg],OMOP:4154790,,,,,,,,,1,1.0,0,0,,0
