cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"aric","troponin all types","phv00204138","pht004053","q50n. biomarkers: day two: range set: troponin i [hospital abstraction form. hra. version f]","","MeasurementObservation","troponin","ng/mL","ARIC HOSPITAL FORM","phv00204295","","","",1,1,,0,0,0
"aric","troponin all types","phv00204109","pht004053","q43u. range 1: upper limit of normal: troponin i [hospital abstraction form. hra. version f]","","MeasurementObservation","troponin","ng/mL","ARIC HOSPITAL FORM","phv00204295","","","",1,1,,0,0,0
"aric","troponin all types","phv00204112","pht004053","q43x. range 1: special units: troponin t [hospital abstraction form. hra. version f]","","MeasurementObservation","troponin","ng/mL","ARIC HOSPITAL FORM","phv00204295","","","",1,1,,0,0,0
"aric","troponin all types","phv00204111","pht004053","q43w. range 1: upper limit of normal: troponin t [hospital abstraction form. hra. version f]","","MeasurementObservation","troponin","ng/mL","ARIC HOSPITAL FORM","phv00204295","","","",1,1,,0,0,0
"aric","troponin all types","phv00204110","pht004053","q43v. range 1: special units: troponin i [hospital abstraction form. hra. version f]","","MeasurementObservation","troponin","ng/mL","ARIC HOSPITAL FORM","phv00204295","","","",1,1,,0,0,0
"aric","vegetables","phv00205075","pht004068","[vegetables]. in the past year, how often on average did you consume... broccoli; 1/2 c. q16 [dietary intake form. dtia. visit 1]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
"aric","vegetables","phv00205298","pht004070","[fruits]. in the past year, how often on average did you consume... corn; 1 ear or 1/2 c. q19 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","vegetables","phv00205299","pht004070","[fruits]. in the past year, how often on average did you consume... spinach, collards or other greens, but do not include lettuce; 1/2 c. q20 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","vegetables","phv00205296","pht004070","[fruits]. in the past year, how often on average did you consume... cabbage, cauliflower, brussels sprouts; 1/2 c. q17 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","vegetables","phv00205083","pht004068","[vegetables]. in the past year, how often on average did you consume... baked beans or lentils, dried cooked or canned, such as pinto, black eye, baked beans; 1/2 c. q24 [dietary intake form. dtia. visit 1]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
"aric","vegetables","phv00205301","pht004070","[fruits]. in the past year, how often on average did you consume... dark yellow, winter squash such as acorn, butternut; 1/2 c. q22 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","vegetables","phv00205199","pht004069","[vegetables]. in the past year, how often on average did you consume... corn; 1 ear or 1/2 c. q19 [dietary intake form. dtib. visit 2]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","vegetables","phv00205203","pht004069","[vegetables]. in the past year, how often on average did you consume... sweet potatoes; 1/2 c. q23 [dietary intake form. dtib. visit 2]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","vegetables","phv00205204","pht004069","[vegetables]. in the past year, how often on average did you consume... baked beans or lentils, dried cooked or canned, such as pinto, black eye, baked beans; 1/2 c. q24 [dietary intake form. dtib. visit 2]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","vegetables","phv00205076","pht004068","[vegetables]. in the past year, how often on average did you consume... cabbage, cauliflower, brussels sprouts; 1/2 c. q17 [dietary intake form. dtia. visit 1]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
"aric","vegetables","phv00205080","pht004068","[vegetables]. in the past year, how often on average did you consume... peas or lima beans; 1/2 c. fresh, frozen or canned. q21 [dietary intake form. dtia. visit 1]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
"aric","vegetables","phv00205200","pht004069","[vegetables]. in the past year, how often on average did you consume... spinach, collards, or other greens, but do not include lettuce; 1/2 c. q20 [dietary intake form. dtib. visit 2]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","vegetables","phv00205197","pht004069","[vegetables]. in the past year, how often on average did you consume... cabbage, cauliflower, brussels sprouts; 1/2 c. q17 [dietary intake form. dtib. visit 2]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","vegetables","phv00205084","pht004068","[vegetables]. in the past year, how often on average did you consume... tomatoes; 1, or tomato juice; 4 oz. q25 [dietary intake form. dtia. visit 1]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
"aric","vegetables","phv00205205","pht004069","[vegetables]. in the past year, how often on average did you consume... tomatoes; 1, or tomato juice; 4 oz. q25 [dietary intake form. dtib. visit 2]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 2","phv00205279","","","",1,1,,0,0,0
"aric","vegetables","phv00205297","pht004070","[fruits]. in the past year, how often on average did you consume... carrots; 1 whole or 1/2 c. cooked. q18 [dietary intake form. dtic04. visit 3]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 3","phv00205385","","","",1,1,,0,0,0
"aric","vegetables","phv00205078","pht004068","[vegetables]. in the past year, how often on average did you consume... corn; 1 ear or 1/2 c. q19 [dietary intake form. dtia. visit 1]","","MeasurementObservation","vege_serving","{servings}/wk","ARIC EXAM 1","phv00205178","","","",1,1,,0,0,0
