cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
cardia,alcohol,phv00114310,pht001600,drinks in past 24 hrs. q5,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 2,phv00114304,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00114313,pht001600,drank more than once in past yr. q 8,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 2,phv00114304,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00114314,pht001600,years ago stopped drinking. q 9,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 2,phv00114304,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00114315,pht001600,usual number of drinks. q 10,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 2,phv00114304,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00114316,pht001600,past consumption of wine. q 11,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 2,phv00114304,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00114317,pht001600,past consumption of beer. q 11,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 2,phv00114304,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00115415,pht001655,mean ml of alcohol consumption per day,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,1,0,1,1,,,,
cardia,alcohol,phv00115416,pht001655,drinker. q 1,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00115417,pht001655,drinks wine/week. q 2,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00115418,pht001655,drinks beer/week. q 3,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00115419,pht001655,drinks liquor/week. q 4,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00115420,pht001655,drinks in past 24 hrs. q 5,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00115421,pht001655,"most drinks/day, last month. q 6",,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,0,0,0,1,,,,
