cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,varlist,bad_map,expr,add_var_units,note,added_phv
"jhs","albumin in urine","phv00401723","pht008741","umali_cresult: character results for albumin [visit 6]","","MeasurementObservation","albumin_urine","mg/L","phv00401710","JHS EXAM 6","","","","",,1,1,,0,0,0,"","","","","",""
"jhs","alcohol","phv00400743","pht008720","2. during the past 12 months, on the average, how many days per (weeks, month, or year) consumed any alcoholic beverage? number of days. [visit 9] [health practices: alcohol and drug use]","d","MeasurementObservation","alcohol_servings","{#}/wk","phv00400740","JHS EXAM 9","","","","",,1,1,,0,0,0,"","","","","",""
"jhs","alcohol","phv00124670","pht001926","2a. during the past 12 months, on the average, how many days per week, month, or year did you drink any alcoholic beverage? number of days [visit 1] [health practices: alcohol and drug use, version a]","d","MeasurementObservation","alcohol_servings","{#}/wk","phv00124667","JHS EXAM 1","","","","",,1,1,,0,0,0,"","","","","",""
"jhs","alcohol","phv00400744","pht008720","2b. during the past 12 months, on the average, how many days per (weeks, month, or year) consumed any alcoholic beverage? number of days. per [unit of time] [visit 9] [health practices: alcohol and drug use]","","MeasurementObservation","alcohol_servings","{#}/wk","phv00400740","JHS EXAM 9","","","","",,1,1,,0,0,0,"","","","","",""
"jhs","bnp","phv00401564","pht008733","bnp character result","","MeasurementObservation","bnp","pg/mL","phv00401561","JHS EXAM 1","","","","",,1,1,,0,0,0,"","","","","",""
