cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
jhs,pr interval,phv00402212,pht008746,prduravl - pr duration in lead avl [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402217,pht008746,prdurv4 - pr duration in lead v4 [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402216,pht008746,prdurv3 - pr duration in lead v3 [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402209,pht008746,prdurii - pr duration in lead ii [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402219,pht008746,prdurv6 - pr duration in lead v6 [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402213,pht008746,prduravf - pr duration in lead avf [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402215,pht008746,prdurv2 - pr duration in lead v2 [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402214,pht008746,prdurv1 - pr duration in lead v1 [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402208,pht008746,prduri - pr duration in lead i [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402211,pht008746,prduravr - pr duration in lead avr [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402210,pht008746,prduriii - pr duration in lead iii [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,pr interval,phv00402218,pht008746,prdurv5 - pr duration in lead v5 [visit 1],ms,MeasurementObservation,pr_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402345,pht008746,qrsdavf - qrs duration in lead avf [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402346,pht008746,qrsdv1 - qrs duration in lead v1 [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402344,pht008746,qrsdavl - qrs duration in lead avl [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402343,pht008746,qrsdavr - qrs duration in lead avr [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402341,pht008746,qrsdii - qrs duration in lead ii [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402342,pht008746,qrsdiii - qrs duration in lead iii [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402047,pht008746,qrs duration,,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,1,,,1,something wrong with these values
jhs,qrs interval,phv00402348,pht008746,qrsdv3 - qrs duration in lead v3 [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402349,pht008746,qrsdv4 - qrs duration in lead v4 [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402350,pht008746,qrsdv5 - qrs duration in lead v5 [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402081,pht008746,qrsdur - qrs duration [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402351,pht008746,qrsdv6 - qrs duration in lead v6 [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402340,pht008746,qrsdi - qrs duration in lead i [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qrs interval,phv00402347,pht008746,qrsdv2 - qrs duration in lead v2 [visit 1],ms,MeasurementObservation,qrs_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,qt interval,phv00402085,pht008746,qtdur - qt duration [visit 1],ms,MeasurementObservation,qt_ekg,ms,JHS EXAM 1,phv00402039,,,,1,1,,0,0,0,,,,1,units inferred
jhs,red cell distribution width,phv00127628,pht001959,rdw [visit 1],,MeasurementObservation,rdw,%,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,1,,,,no data was collected for this variable
jhs,total cholesterol in blood,phv00401352,pht008730,aha total cholesterol categorization,,MeasurementObservation,tot_chol_bld,mg/dL,JHS EXAM 2,phv00401273,,,,1,1,,0,0,0,1,,,,
jhs,total cholesterol in blood,phv00401484,pht008731,aha total cholesterol categorization,,MeasurementObservation,tot_chol_bld,mg/dL,JHS EXAM 3,phv00401370,,,,1,1,,0,0,0,1,,,,
jhs,total cholesterol in blood,phv00401241,pht008729,aha total cholesterol categorization,,MeasurementObservation,tot_chol_bld,mg/dL,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,
jhs,triglycerides in blood,phv00401140,pht008729,fasting triglyceride categorization,,MeasurementObservation,triglyc_bld,mg/dL,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,
jhs,triglycerides in blood,phv00401431,pht008731,fasting triglyceride categorization,,MeasurementObservation,triglyc_bld,mg/dL,JHS EXAM 3,phv00401370,,,,1,1,,0,0,0,1,,,,
jhs,triglycerides in blood,phv00401326,pht008730,fasting triglyceride categorization,,MeasurementObservation,triglyc_bld,mg/dL,JHS EXAM 2,phv00401273,,,,1,1,,0,0,0,1,,,,
jhs,body weight,phv00402807,pht008753,20.what did you weigh when you were age 18,[lb_av],MeasurementObservation,bdy_wgt,,JHS Exam 2,phv00402777,,,,,,,,,,,1,,,added per GitHub issue 314
