cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
jhs,systolic blood pressure,phv00125881,pht001941,11a. correlation using t-tube connector. sphygmomanometer (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125882,pht001941,11b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125883,pht001941,11c. correlation using t-tube connector. ambulatory monitor (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125884,pht001941,11d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125886,pht001941,12a. correlation using t-tube connector. sphygmomanometer (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125887,pht001941,12b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125888,pht001941,12c. correlation using t-tube connector. ambulatory monitor (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125889,pht001941,12d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125891,pht001941,13a. correlation using t-tube connector. sphygmomanometer (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125892,pht001941,13b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125893,pht001941,13c. correlation using t-tube connector. ambulatory monitor (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125894,pht001941,13d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125896,pht001941,14a. correlation using t-tube connector. sphygmomanometer (mean accepted systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125897,pht001941,14b. correlation using t-tube connector. sphygmomanometer (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125898,pht001941,14c. correlation using t-tube connector. ambulatory monitor (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125899,pht001941,14d. correlation using t-tube connector. ambulatory monitor (mean accepted diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125871,pht001941,9a. correlation using t-tube connector. sphygmomanometer (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125872,pht001941,9b. correlation using t-tube connector. sphygmomanometer (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00125873,pht001941,9c. correlation using t-tube connector. ambulatory monitor (systolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00125874,pht001941,9d. correlation using t-tube connector. ambulatory monitor (diastolic blood pressure) [visit 1] [pre abpm form],mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00125864,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00128370,pht001974,"q13. d. first blood pressure measurement. systolic (first bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00128370,pht001974,"q13. d. first blood pressure measurement. systolic (first bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00128371,pht001974,"q14. d. first blood pressure measurement. diastolic (first bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00128371,pht001974,"q14. d. first blood pressure measurement. diastolic (first bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00128372,pht001974,"q15. d. first blood pressure measurement. zero reading (first bp) [visit 1] [sitting blood pressure form, sbp]",,MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,1,,,,
jhs,systolic blood pressure,phv00128372,pht001974,"q15. d. first blood pressure measurement. zero reading (first bp) [visit 1] [sitting blood pressure form, sbp]",,MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,1,,,,
jhs,diastolic blood pressure,phv00128373,pht001974,"q16. e. second blood pressure measurement. systolic (second bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00128373,pht001974,"q16. e. second blood pressure measurement. systolic (second bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00128374,pht001974,"q17. e. second blood pressure measurement. diastolic (second bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00128374,pht001974,"q17. e. second blood pressure measurement. diastolic (second bp) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00128375,pht001974,"q18. e. second blood pressure measurement. zero reading (second bp) [visit 1] [sitting blood pressure form, sbp]",,MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,1,,,,
jhs,systolic blood pressure,phv00128375,pht001974,"q18. e. second blood pressure measurement. zero reading (second bp) [visit 1] [sitting blood pressure form, sbp]",,MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,1,,,,
jhs,systolic blood pressure,phv00128376,pht001974,"q19. f. computed net average of first and second blood pressure measurement. systolic (computed net average) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00128377,pht001974,"q20. e. second blood pressure measurement. diastolic (computed net average) [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00400693,pht008719,5. b. measures. doppler systolic [visit 9] [ankle-brachial blood pressure],mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 9,phv00400683,,,,1,1,,0,0,0,1,,,,GitHub issue 228
jhs,systolic blood pressure,phv00403813,pht008782,"q16. e. first random zero blood pressure measurement. systolic (1st random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 6,phv00403792,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00403814,pht008782,"q17. e. first random zero blood pressure measurement. diastolic (1st random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 6,phv00403792,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00403816,pht008782,"q19. f. second random zero blood pressure measurement. systolic (2nd random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 6,phv00403792,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00403817,pht008782,"q20. f. second random zero blood pressure measurement. diastolic (2nd random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 6,phv00403792,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00403819,pht008782,"q22. g. computed net average of first and second random zero blood pressure measurements. systolic (net average random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 6,phv00403792,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00403820,pht008782,"q23. g. computed net average of first and second random zero blood pressure measurements. diastolic (net average random zero measurement) [visit 6] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 6,phv00403792,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00403848,pht008783,"q13. e. first omron blood pressure measurement. systolic reading [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00403849,pht008783,"q14. e. first omron blood pressure measurement. diastolic reading [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00403851,pht008783,"q16. f. second omron blood pressure measurement. 2nd systolic reading [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00403852,pht008783,"q17. f. second omron blood pressure measurement. 2nd diastolic reading [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,systolic blood pressure,phv00403854,pht008783,"q19. g. computed net average of first and second omron blood pressure measurements. computed systolic [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_systolic,mm[Hg],JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,diastolic blood pressure,phv00403855,pht008783,"q20. g. computed net average of first and second omron blood pressure measurements. computed diastolic [visit 1] [sitting blood pressure form, sbp]",mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,cac score,phv00401333,pht008730,coronary artery calcium score,{score},MeasurementObservation,cac_score,{score},JHS EXAM 2,phv00401273,,,,1,1,,0,0,0,1,,,1,values seem identical to raw data stored in another phv
jhs,cac score,phv00126002,pht001948,24. agatston score all coronary (does not include others),{score},MeasurementObservation,cac_score,{score},JHS EXAM 2,phv00126001,,,,1,1,,0,0,0,,,,1,
jhs,creatinine in urine,phv00403005,pht008759,urine creatinine: g/24hr,g/d,MeasurementObservation,creat_urin,mg/dL,JHS URINE,phv00403002,,,,1,1,,0,0,0,,,/ {phv00403006} * 100,,
jhs,creatinine in urine,phv00401149,pht008729,24-hour urine creatinine (g/24hr),g/d,MeasurementObservation,creat_urin,mg/dL,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,"no data on urine volume for this derived var, so cannot be converted. Min and max values look identical to the raw var on another form"
jhs,c-reactive protein crp,phv00125940,pht001945,character results for hscrp [visit 1],,MeasurementObservation,crp,mg/L,JHS EXAM 6,phv00125925,,,,1,1,,0,0,0,1,,,,redundant with categorical var
jhs,eosinophils count,phv00127621,pht001959,eosin: diff measure % [visit 1],%,MeasurementObservation,eosinophil_ncnc_bld,10*3/uL,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,1,,,,
jhs,fev1 - forced expiratory volume in 1 sec,phv00401165,pht008729,fev1 % predicted,%,MeasurementObservation,fev1,L,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,predicted values are out of scope
jhs,fev1 - forced expiratory volume in 1 sec,phv00128220,pht001969,"scnd_fev1 - forced expiratory volume in 1 second, fev1.0 from the 2nd best curve: measured in liters",L,MeasurementObservation,fev1,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,,,,1,
