cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","alcohol","phv00112863","pht001565","cordial and liqueur","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 0","phv00112709","","","",1,1,,0,0,0
"cardia","alcohol","phv00115418","pht001655","drinks beer/week. q 3","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 5","phv00115414","","","",1,1,,0,0,0
"cardia","alcohol","phv00116947","pht001714","drinks wine/week. q 2","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116945","","","",1,1,,0,0,0
"cardia","alcohol","phv00118417","pht001760","drinker. q 1","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 10","phv00118416","","","",1,1,,0,0,0
"cardia","alcohol","phv00114307","pht001600","drinks wine/week. q 2","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 2","phv00114304","","","",1,1,,0,0,0
"cardia","alcohol","phv00119515","pht001795","wine in past 24 hrs","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 10","phv00119471","","","",1,1,,0,0,0
"cardia","alcohol","phv00112966","pht001568","has pt had alcohol>once/twice, past yr? q 8","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 0","phv00112958","","","",1,1,,0,0,0
"cardia","alcohol","phv00116916","pht001712","distilled liquor","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116761","","","",1,1,,0,0,0
"cardia","alcohol","phv00116946","pht001714","drinker. q 1","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116945","","","",1,1,,0,0,0
"cardia","alcohol","phv00114305","pht001600","mean ml of absolute alcohol consumption","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 2","phv00114304","","","",1,1,,0,0,0
"cardia","alcohol","phv00116929","pht001713","major food group for alcohol","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116928","","","",1,1,,0,0,0
"cardia","alcohol","phv00112865","pht001565","wine","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 0","phv00112709","","","",1,1,,0,0,0
"cardia","alcohol","phv00114316","pht001600","past consumption of wine. q 11","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 2","phv00114304","","","",1,1,,0,0,0
"cardia","alcohol","phv00115421","pht001655","most drinks/day, last month. q 6","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 5","phv00115414","","","",1,1,,0,0,0
"cardia","alcohol","phv00112969","pht001568","previously drank wine (2=yes). q 11","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 0","phv00112958","","","",1,1,,0,0,0
"cardia","alcohol","phv00114317","pht001600","past consumption of beer. q 11","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 2","phv00114304","","","",1,1,,0,0,0
"cardia","alcohol","phv00116917","pht001712","wine","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116761","","","",1,1,,0,0,0
"cardia","alcohol","phv00115420","pht001655","drinks in past 24 hrs. q 5","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 5","phv00115414","","","",1,1,,0,0,0
"cardia","alcohol","phv00116951","pht001714","most drinks/day, last month. q 6","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116945","","","",1,1,,0,0,0
"cardia","alcohol","phv00112862","pht001565","beer and ales","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 0","phv00112709","","","",1,1,,0,0,0
"cardia","alcohol","phv00118418","pht001760","drinks wine/week. q 2","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 10","phv00118416","","","",1,1,,0,0,0
"cardia","alcohol","phv00116950","pht001714","drinks in past 24 hrs. q 5","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116945","","","",1,1,,0,0,0
"cardia","alcohol","phv00120702","pht001850","type of alcohol","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 15","phv00120680","","","",1,1,,0,0,0
