cohort,bdchm_label,phv,phs,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
aric,fasting blood glucose,phv00207678,phs000280,pht004124,fasting glucose (value). q4a [lipid lab. lipd04. visit 4],mg/dL,MeasurementObservation,fast_gluc_bld,mg/dL,OMOP:4156660,phv00207685,ARIC EXAM 4,,,,,,1.0,1.0,1.0,0,0,1
aric,fasting blood glucose,phv00296695,phs000280,pht006444,fasting glucose [central lab data],mg/dL,MeasurementObservation,fast_gluc_bld,mg/dL,OMOP:4156660,phv00296690,ARIC EXAM 5,,,,,,1.0,1.0,1.0,0,0,1
aric,fasting blood glucose,phv00511990,phs000280,pht012813,"v4 fasting glucose in si units [derived variable dataset, visit 4]",mmol/L,MeasurementObservation,fast_gluc_bld,mg/dL,OMOP:4156660,phv00511942,ARIC EXAM 4,phv00511996,,,* 18,,1.0,1.0,,0,1,1
aric,fasting blood glucose,phv00512077,phs000280,pht012814,fasting glucose in si units [cohort visit derived variables. visit 5],mmol/L,MeasurementObservation,fast_gluc_bld,mg/dL,OMOP:4156660,phv00512039,ARIC EXAM 5,phv00512050,,,* 18,,1.0,1.0,,0,1,1
aric,fasting blood glucose,phv00507387,phs000280,pht012504,"fasting glucose in si units, fasting at least 8 hours (bio7a=yes) [visit 7/ncs derived variable dataset. derive71]",mmol/L,MeasurementObservation,fast_gluc_bld,mg/dL,OMOP:4156660,phv00507300,ARIC EXAM 7,phv00507307,,,* 18,,1.0,1.0,,0,1,1
aric,fasting blood glucose,phv00512301,phs000280,pht012815,"fasting glucose in si units, fasting at least 8 hours (bio7a=yes) [2.33142 - 29.64234 ( median=5.43998 mean=5.862499 std=1.428736 )] [cohort visit derived variables. derive61. visit 6]",mmol/L,MeasurementObservation,fast_gluc_bld,mg/dL,OMOP:4156660,phv00512222,ARIC EXAM 6,phv00512229,,,* 18,,1.0,1.0,,0,1,1
