cohort,bdchm_label,phv,phs,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
aric,insulin in blood,phv00207683,phs000280,pht004124,insulin (value). q7a [lipid lab. lipd04. visit 4],m[IU]/mL,MeasurementObservation,insulin_blood,pmol/L,OBA:2060174,phv00207685,ARIC EXAM 4,,,,* 6,,1.0,1.0,,0.0,1.0,1.0
aric,insulin in blood,phv00203874,phs000280,pht004051,insulin amiu/ml. q16 [clinical chemistry lab. chma. visit 1],m[IU]/mL,MeasurementObservation,insulin_blood,pmol/L,OBA:2060174,phv00203875,ARIC EXAM 1,,,,* 6,,1.0,1.0,,0.0,1.0,1.0
aric,insulin in blood,phv00204739,phs000280,pht004063,insulin in si units [cohort. visit 1],pmol/L,MeasurementObservation,insulin_blood,pmol/L,OBA:2060174,phv00204812,ARIC EXAM 1,phv00204712,,,,,1.0,1.0,1.0,0.0,0.0,1.0
aric,insulin in blood,phv00296699,phs000280,pht006444,insulin [central lab data],u[IU]/mL,MeasurementObservation,insulin_blood,pmol/L,OBA:2060174,phv00296690,ARIC EXAM 5,,u[IU]/mL,pmol/L,* 6,,1.0,1.0,,1.0,0.0,1.0
