bdchm_entity,bdchm_label,bdchm_varname,pht,phv,phs,onto_id,var_desc,cohort,bdchm_unit,associatedvisit,associatedvisit_expr,exam_num,participantidphv,ageinyearsphv,ageinyears_expr,contextvars_notes,var_units,has_pht,has_visit,has_age,has_onto,unit_match,unit_convert,unit_expr,unit_casestmt,row_good,conversion_rule,source_unit,target_unit,equivalent_units,case_stmt,has_visit_expr
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006415,phv00294570,phs000280,OMOP:4154790,"right brachial diastolic blood pressure, rbdia [ankle brachial index - derived. abi_derv. visit 5]",aric,mm[Hg],ARIC EXAM 5,0,0,phv00294559,phv00294561,0,age at visit 5 phv00294561,mm[Hg],1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004192,phv00210285,phs000280,OMOP:4154790,[second blood pressure measurement]. 2nd diastolic. q16 [siting blood pressure. sbpa. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00210296,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004042,phv00203343,phs000280,OMOP:4154790,sitting diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00203348,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004194,phv00210341,phs000280,OMOP:4154790,[computed net average of second and third blood pressure measurements]. 2nd and 3rd diastolic blood pressure average. q23 [sitting blood pressure. sbpc04_02. visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00210347,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004193,phv00210308,phs000280,OMOP:4154790,"first blood pressure measurement, diastolic q13 [sitting blood pressure. sbpb02. visit 2]",aric,mm[Hg],ARIC EXAM 2,0,0,phv00210321,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006415,phv00294573,phs000280,OMOP:4154790,"left brachial diastolic blood pressure, lbdia [ankle brachial index - derived. abi_derv. visit 5]",aric,mm[Hg],ARIC EXAM 5,0,0,phv00294559,phv00294561,0,age at visit 5 phv00294561,mm[Hg],1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004042,phv00203337,phs000280,OMOP:4154790,first arm diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00203348,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004042,phv00203347,phs000280,OMOP:4154790,second standing diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00203348,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004195,phv00210358,phs000280,OMOP:4154790,1st diastolic blood pressure measurement. q14 [sitting blood pressure. sbpd04_02. visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00210370,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006414,phv00294514,phs000280,OMOP:4154790,"right ankle diastolic blood pressure, radia [ankle brachial bp index. abi. visit 5]",aric,mm[Hg],ARIC EXAM 5,0,0,phv00294489,phv00294491,0,age at visit 5 phv00294491,mm[Hg],1.0,1.0,1.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004192,phv00210282,phs000280,OMOP:4154790,[first blood pressure measurement]. 1st diastolic. q13 [siting blood pressure. sbpa. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00210296,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004195,phv00210364,phs000280,OMOP:4154790,1st and 2nd diastolic blood pressure average. q20 [sitting blood pressure. sbpd04_02. visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00210370,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004042,phv00203335,phs000280,OMOP:4154790,ankle diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 3],aric,mm[Hg],ARIC EXAM 3,0,0,phv00203348,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004043,phv00203361,phs000280,OMOP:4154790,first arm diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00203372,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004043,phv00203365,phs000280,OMOP:4154790,third arm diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00203372,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004043,phv00203369,phs000280,OMOP:4154790,first standing diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00203372,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004192,phv00210291,phs000280,OMOP:4154790,[third blood pressure measurement]. 2nd and 3rd diastolic. q22 [siting blood pressure. sbpa. visit 1],aric,mm[Hg],ARIC EXAM 1,0,0,phv00210296,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004194,phv00210332,phs000280,OMOP:4154790,"1st diastolic blood pressure measurement, diastolic. q14 [sitting blood pressure. sbpc04_02. visit 3]",aric,mm[Hg],ARIC EXAM 3,0,0,phv00210347,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht004043,phv00203359,phs000280,OMOP:4154790,ankle diastolic blood pressure [ankle brachial bp (blood pressure - ultrasound work station). visit 4],aric,mm[Hg],ARIC EXAM 4,0,0,phv00203372,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
MeasurementObservation,diastolic blood pressure,bp_diastolic,pht006480,phv00298044,phs000280,OMOP:4154790,"e. average blood pressure/pulse rate. q15. avg: diastolic [sitting blood pressure form, sbp]",aric,mm[Hg],ARIC LAB FORM,0,0,phv00298028,0,0,0,mm[Hg],1.0,1.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0.0,0,0.0
