cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,participantidphv,associatedvisit,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,varlist,bad_map,expr,add_var_units,note,added_phv
"whi","alcohol","phv00079349","pht001010","12 or more drinks of alcohol","","MeasurementObservation","alcohol_servings","{#}/wk","phv00079332","WHI OS 42","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00077953","pht000993","alcohol how often","","MeasurementObservation","alcohol_servings","{#}/wk","phv00077907","WHI YEAR 6","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00077952","pht000993","alcohol in past 3 months","","MeasurementObservation","alcohol_servings","{#}/wk","phv00077907","WHI YEAR 6","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00078827","pht001003","alcohol intake","","MeasurementObservation","alcohol_servings","{#}/wk","phv00078772","WHI PH 34","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00077955","pht000993","alcohol not with major meal","","MeasurementObservation","alcohol_servings","{#}/wk","phv00077907","WHI YEAR 6","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00282994","pht006214","alcohol past 3 months, how often","","MeasurementObservation","alcohol_servings","{#}/wk","phv00282977","WHI LQ 155","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00078841","pht001004","beer - frequency","","MeasurementObservation","alcohol_servings","{#}/wk","phv00082638","WHI PH 35","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00078842","pht001004","beer - serving size","","MeasurementObservation","alcohol_servings","{#}/wk","phv00082638","WHI PH 35","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00078784","pht001003","drank 12 alcoholic beverages ever","","MeasurementObservation","alcohol_servings","{#}/wk","phv00078772","WHI PH 34","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00077554","pht000990","drink alcohol more than usual on special occasions","","MeasurementObservation","alcohol_servings","{#}/wk","phv00077450","WHI YEAR 3","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00077956","pht000993","drinking on special occasions","","MeasurementObservation","alcohol_servings","{#}/wk","phv00077907","WHI YEAR 6","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00079350","pht001010","drinks of alcohol (age 14-17)","","MeasurementObservation","alcohol_servings","{#}/wk","phv00079332","WHI OS 42","","","",,1,1,,0,0,0,"","","","","",""
"whi","alcohol","phv00079351","pht001010","drinks of alcohol (age 18-22)","","MeasurementObservation","alcohol_servings","{#}/wk","phv00079332","WHI OS 42","","","",,1,1,,0,0,0,"","","","","",""
