cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,participantidphv,associatedvisit,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,varlist,bad_map,expr,add_var_units,note,added_phv
"fhs","8-epi-pgf2a in urine","phv00520369","pht012880","8-epi-isoprostane (sample type: urine)","","MeasurementObservation","isoprostane_8_epi_pgf2a","pg/mL","phv00520362","GENERATION 3 EXAM 1, NEW OFFSPRING SPOUSE EXAM 1, AND OMNI 2 EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","8-epi-pgf2a in urine","phv00520401","pht012882","8-epi-isoprostane, average concentration (sample type: urine)","","MeasurementObservation","isoprostane_8_epi_pgf2a","pg/mL","phv00520395","OFFSPRING EXAM 8 AND OMNI 1 EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","8-epi-pgf2a in urine","phv00520386","pht012881","original isoprostane (sample type: urine)","","MeasurementObservation","isoprostane_8_epi_pgf2a","pg/mL","phv00520376","OFFSPRING EXAM 7 AND OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","8-epi-pgf2a in urine","phv00520387","pht012881","urine creatinine corrected isoprostane (sample type: urine)","","MeasurementObservation","isoprostane_8_epi_pgf2a","pg/mL","phv00520376","OFFSPRING EXAM 7 AND OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","activity lp-pla2 in blood","phv00520364","pht012880","lp-pla2 activity (sample type: plasma)","","MeasurementObservation","lppla2_act","nmol/min/mL","phv00520362","GENERATION 3 EXAM 1, NEW OFFSPRING SPOUSE EXAM 1, AND OMNI 2 EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","activity lp-pla2 in blood","phv00520378","pht012881","lp-pla2 activity (sample type: plasma)","","MeasurementObservation","lppla2_act","nmol/min/mL","phv00520376","OFFSPRING EXAM 7 AND OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","activity lp-pla2 in blood","phv00520397","pht012882","lp-pla2 activity concentration (sample type: plasma)","","MeasurementObservation","lppla2_act","nmol/min/mL","phv00520395","OFFSPRING EXAM 8 AND OMNI 1 EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","ahi apnea-hypopnea index","phv00056501","pht000395","ahi > 50","","MeasurementObservation","apnea_hypop_index","/h","phv00056635","FHS OFFSPRING OR OMNI 1 SHHS EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","ahi apnea-hypopnea index","phv00055553","pht000395","obstructive (all desats) apnea hypopnea (4% desat) index)","","MeasurementObservation","apnea_hypop_index","/h","phv00056635","FHS OFFSPRING OR OMNI 1 SHHS EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","ahi apnea-hypopnea index","phv00057941","pht000397","obstructive (all desats) apnea hypopnea (4% desat) index)","","MeasurementObservation","apnea_hypop_index","/h","phv00057982","FHS OFFSPRING AND OMNI 1 SHHS 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","ahi apnea-hypopnea index","phv00057873","pht000397","qs - medical alert - ahi > 50","","MeasurementObservation","apnea_hypop_index","/h","phv00057982","FHS OFFSPRING AND OMNI 1 SHHS 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin creatinine ratio in urine","phv00462179","pht010725","microalbumin/creatinine ratio (uacr)","","MeasurementObservation","albumin_creatinine","mg/g{creat}","phv00462160","OFFSPRING EXAMS 5, 6, 7 AND OMNI 1 EXAMS 1, 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in blood","phv00008089","pht000031","albumin","","MeasurementObservation","albumin_bld","g/dL","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in blood","phv00276863","pht006018","albumin - protein labs date same as onset","","MeasurementObservation","albumin_bld","g/dL","phv00276803","FHS ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 1, OMNI 2 CASE REVIEW","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in blood","phv00462190","pht010726","albumin sample type: serum","","MeasurementObservation","albumin_bld","g/dL","phv00462185","FHS EXAM LAB ASSAYS, GENERATION 3 EXAM 3, NEW OFFSPRING SPOUSE EXAM 3, OMNI 2 EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in blood","phv00422388","pht006013","albumin: serum albumin - 3707-12 (p02768) (sample type: citrated plasma)","","MeasurementObservation","albumin_bld","g/dL","phv00275427","FHS OFFSPRING EXAM 5","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00462181","pht010725","24 hour urine albumin","","MeasurementObservation","albumin_urine","mg/L","phv00462160","OFFSPRING EXAMS 5, 6, 7 AND OMNI 1 EXAMS 1, 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00219549","pht004363","measurable range indicator for urine albumin","","MeasurementObservation","albumin_urine","mg/L","phv00219544","FHS OFFSPRING EXAM 7, OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00227069","pht004802","measurable range indicator for urine albumin","","MeasurementObservation","albumin_urine","mg/L","phv00227023","FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00461329","pht006006","numerical data - part ii: urinalysis specimen - albumin","","MeasurementObservation","albumin_urine","mg/L","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00251080","pht004814","numerical data - part ii: urinalysis specimen obtained - albumin","","MeasurementObservation","albumin_urine","mg/L","phv00250718","FHS OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00009568","pht000034","urinalysis specimen - albumin","","MeasurementObservation","albumin_urine","mg/L","phv00009579","FHS OFFSPRING EXAM 5","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00001039","pht000010","urinalysis: albumin","","MeasurementObservation","albumin_urine","mg/L","phv00001187","FHS ORIGINAL EXAM 8","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00001192","pht000011","urinalysis: albumin","","MeasurementObservation","albumin_urine","mg/L","phv00001363","FHS ORIGINAL EXAM 9","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00001369","pht000012","urinalysis: albumin","","MeasurementObservation","albumin_urine","mg/L","phv00001559","FHS ORIGINAL EXAM 10","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00001566","pht000013","urinalysis: albumin","","MeasurementObservation","albumin_urine","mg/L","phv00001803","FHS ORIGINAL EXAM 11","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00009106","pht000033","urinalysis: albumin","","MeasurementObservation","albumin_urine","mg/L","phv00009127","FHS OFFSPRING EXAM 4","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00009585","pht000035","urinalysis: albumin","","MeasurementObservation","albumin_urine","mg/L","phv00010138","FHS OFFSPRING EXAM 6","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00010517","pht000036","urinalysis: albumin","","MeasurementObservation","albumin_urine","mg/L","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00002422","pht000016","urinalysis: albumin (dip stick) trace=10","","MeasurementObservation","albumin_urine","mg/L","phv00002425","FHS ORIGINAL EXAM 14","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00002662","pht000017","urinalysis: albumin (dip stick) trace=10","","MeasurementObservation","albumin_urine","mg/L","phv00002668","FHS ORIGINAL EXAM 15","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00007968","pht000031","urinalysis: albumin (dipstick) trace=10","","MeasurementObservation","albumin_urine","mg/L","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00002418","pht000016","urinalysis: albumin (quantitest)","","MeasurementObservation","albumin_urine","mg/L","phv00002425","FHS ORIGINAL EXAM 14","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00002658","pht000017","urinalysis: albumin (quantitest)","","MeasurementObservation","albumin_urine","mg/L","phv00002668","FHS ORIGINAL EXAM 15","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00007964","pht000031","urinalysis: albumin (quantitest)","","MeasurementObservation","albumin_urine","mg/L","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00000522","pht000009","urinalysis: albumin, exam 1","","MeasurementObservation","albumin_urine","mg/L","phv00001036","FHS ORIGINAL EXAM 1-7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00000577","pht000009","urinalysis: albumin, exam 2","","MeasurementObservation","albumin_urine","mg/L","phv00001036","FHS ORIGINAL EXAM 1-7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00000639","pht000009","urinalysis: albumin, exam 3","","MeasurementObservation","albumin_urine","mg/L","phv00001036","FHS ORIGINAL EXAM 1-7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00000769","pht000009","urinalysis: albumin, exam 5","","MeasurementObservation","albumin_urine","mg/L","phv00001036","FHS ORIGINAL EXAM 1-7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00000840","pht000009","urinalysis: albumin, exam 6","","MeasurementObservation","albumin_urine","mg/L","phv00001036","FHS ORIGINAL EXAM 1-7","","","",,1,1,,0,0,0,"","","","","",""
